baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_name,NAME,GENE FAMILY,MOLECULAR TYPE,LOCATION
647.1301614,0.346828293,0.145626124,2.381635126,0.017235966,0.185534848,ENSG00000069509,FUNDC1,FUN14 domain containing 1,None,other,Xp11.3
274.6975185,0.372367062,0.15741788,2.365468656,0.018007267,0.18948588,ENSG00000234741,GAS5,growth arrest specific 5,Long non-coding RNAs with non-systematic symbols|Small nucleolar RNA non-coding host genes,None,1q25.1
20.25683911,0.79197127,0.336052902,2.356686301,0.018438816,0.191954966,ENSG00000112210,RAB23,"RAB23, member RAS oncogene family","RAB, member RAS oncogene GTPases",None,6p12.1-p11.2
33.89929352,-0.551186916,0.237397566,-2.3217884,0.020244332,0.201954249,ENSG00000140474,ULK3,unc-51 like kinase 3,MicroRNA protein coding host genes,kinase,15q24.1
209.1407271,-0.352495034,0.152828148,-2.306479784,0.021083838,0.205662335,ENSG00000185896,LAMP1,lysosomal associated membrane protein 1,Lysosome associated membrane proteins|CD molecules,other,13q34
211.6494915,0.292095313,0.126722022,2.305008293,0.021166109,0.205751464,ENSG00000079950,STX7,syntaxin 7,Syntaxins,transporter,6q23.2
911.7576452,0.280550074,0.122411771,2.291855375,0.02191399,0.209456431,ENSG00000087088,BAX,"BCL2 associated X, apoptosis regulator",BCL2 family,transporter,19q13.33
2599.567176,0.261260654,0.116587228,2.240902869,0.025032367,0.22640275,ENSG00000044574,HSPA5,heat shock protein family A (Hsp70) member 5,Heat shock 70kDa proteins,enzyme,9q33.3
450.9031016,-0.352563049,0.159448416,-2.211141743,0.027026023,0.236443053,ENSG00000114867,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,Small nucleolar RNA protein coding host genes|MIF4G domain containing proteins,translation regulator,3q27.1
438.1465333,0.257074459,0.117104589,2.195255214,0.028145296,0.242045995,ENSG00000144848,ATG3,autophagy related 3,Autophagy related,enzyme,3q13.2
36.95759932,-0.513039767,0.234778776,-2.185205049,0.028873816,0.246090001,ENSG00000196455,PIK3R4,phosphoinositide-3-kinase regulatory subunit 4,Armadillo like helical domain containing|WD repeat domain containing|PIK3C3 complex subunits,kinase,3q22.1
27.65873886,-0.61462576,0.297828955,-2.063687058,0.039047397,0.284831041,ENSG00000149639,SOGA1,"suppressor of glucose, autophagy associated 1",None,other,20q11.23
5782.013787,0.233418147,0.113965941,2.048139505,0.040546332,0.290486267,ENSG00000102144,PGK1,phosphoglycerate kinase 1,None,None,Xq21.1
100.2906307,-0.388101487,0.189913688,-2.043567749,0.040996268,0.292175749,ENSG00000107262,BAG1,BAG cochaperone 1,BAG cochaperones,other,9p13.3
2831.342089,0.212156835,0.105508879,2.01079603,0.044347006,0.304186181,ENSG00000146425,DYNLT1,dynein light chain Tctex-type 1,"Dynein 2 complex subunits|Dynein 1 complex subunits|Dyneins, axonemal outer arm complex subunits",None,6q25.3
44.57414278,-0.532184206,0.2657599,-2.002500019,0.045230981,0.307531844,ENSG00000160803,UBQLN4,ubiquilin 4,Ubiquilin family,None,1q22
51.00233309,-0.433509908,0.217928285,-1.98923195,0.046675607,0.311151622,ENSG00000099940,SNAP29,synaptosome associated protein 29,SNAREs,transporter,22q11.21
66.8355175,-0.362926914,0.184181081,-1.970489654,0.04878228,0.315129818,ENSG00000082701,GSK3B,glycogen synthase kinase 3 beta,None,kinase,3q13.33
45.5729634,0.434781784,0.227513151,1.911018249,0.056002236,0.335521736,ENSG00000087074,PPP1R15A,protein phosphatase 1 regulatory subunit 15A,Protein phosphatase 1 regulatory subunits,other,19q13.2
55.61162443,-0.395651268,0.207455155,-1.907165281,0.056499188,0.336872397,ENSG00000111725,PRKAB1,protein kinase AMP-activated non-catalytic subunit beta 1,None,kinase,12q24.23
8.981137997,0.864409418,0.457543994,1.889237821,0.058859969,0.344034628,ENSG00000115363,EVA1A,"eva-1 homolog A, regulator of programmed cell death",None,other,2p12
261.8797541,-0.223117247,0.118386205,-1.884655793,0.059476324,0.345151805,ENSG00000253729,PRKDC,"protein kinase, DNA-activated, catalytic subunit",Armadillo like helical domain containing,kinase,8q11.21
17.91989261,-0.720470716,0.382879033,-1.881718908,0.059874191,0.345868722,ENSG00000225190,PLEKHM1,pleckstrin homology and RUN domain containing M1,Pleckstrin homology domain containing,None,17q21.31
51.07520282,-0.383924185,0.207316098,-1.851878314,0.064043299,0.356842752,ENSG00000141376,BCAS3,BCAS3 microtubule associated cell migration factor,WD repeat domain containing,None,17q23.2
13.52545419,-0.756613058,0.411610468,-1.838177396,0.066036269,0.362014595,ENSG00000142330,CAPN10,calpain 10,Calpains,peptidase,2q37.3
6.939481914,-0.989721371,0.538515602,-1.837869448,0.066081645,0.36205632,ENSG00000083290,ULK2,unc-51 like autophagy activating kinase 2,Autophagy related,kinase,17p11.2
11.30660348,0.779899432,0.425074439,1.834736131,0.066544796,0.362960752,ENSG00000198496,NBR2,neighbor of BRCA1 lncRNA 2,Long non-coding RNAs with non-systematic symbols,None,17q21.31
11.39729555,0.735779657,0.401869492,1.830892047,0.067116658,0.363861684,ENSG00000258102,MAP1LC3B2,microtubule associated protein 1 light chain 3 beta 2,Autophagy related,None,12q24.22
1019.358626,0.208579945,0.11497955,1.814061238,0.069668298,0.371129171,ENSG00000087586,AURKA,aurora kinase A,Protein phosphatase 1 regulatory subunits,kinase,20q13.2
407.7186126,0.28930986,0.15960696,1.812639368,0.069887462,0.371295115,ENSG00000148572,NRBF2,nuclear receptor binding factor 2,PIK3C3 complex subunits,transcription regulator,10q21.3
34.15359467,-0.416789897,0.23354587,-1.784616863,0.074323484,0.380912347,ENSG00000113273,ARSB,arylsulfatase B,Sulfatases,enzyme,5q14.1
753.5600192,-0.286378783,0.161689154,-1.771168792,0.076532637,0.384588747,ENSG00000165280,VCP,valosin containing protein,AAA ATPases,enzyme,9p13.3
391.3626076,-0.304848284,0.171993998,-1.77243559,0.076322278,0.384588747,ENSG00000251562,MALAT1,metastasis associated lung adenocarcinoma transcript 1,Long non-coding RNAs with non-systematic symbols,None,11q13.1
34.45111046,-0.430354771,0.245921571,-1.749967555,0.080123912,0.394207338,ENSG00000204977,TRIM13,tripartite motif containing 13,Ring finger proteins|Tripartite motif family,enzyme,13q14.2
2208.074265,0.161921558,0.094673565,1.710314359,0.087207758,0.406961903,ENSG00000143575,HAX1,HCLS1 associated protein X-1,None,None,1q21.3
78.5171164,-0.330456799,0.193560068,-1.707257095,0.087774277,0.40794992,ENSG00000148396,SEC16A,"SEC16 homolog A, endoplasmic reticulum export factor",None,None,9q34.3
3442.113826,0.158033213,0.092972349,1.699787237,0.089170953,0.411011539,ENSG00000128272,ATF4,activating transcription factor 4,Basic leucine zipper proteins,transcription regulator,22q13.1
58.36200521,-0.314780962,0.187386748,-1.679846448,0.092987195,0.419673734,ENSG00000100934,SEC23A,"SEC23 homolog A, COPII coat complex component",COPII coat complex,None,14q21.1
500.8536882,0.205508698,0.12232253,1.680055976,0.092946425,0.419673734,ENSG00000062716,VMP1,vacuole membrane protein 1,MicroRNA protein coding host genes,other,17q23.1
33.44336916,-0.423597241,0.252132864,-1.680055647,0.092946489,0.419673734,ENSG00000108443,RPS6KB1,ribosomal protein S6 kinase B1,AGC family kinases,kinase,17q23.1
445.7366341,0.228146795,0.137584818,1.658226525,0.097271753,0.429771733,ENSG00000175354,PTPN2,protein tyrosine phosphatase non-receptor type 2,Protein tyrosine phosphatases non-receptor type,phosphatase,18p11.21
497.5527032,0.234000403,0.141642244,1.652052357,0.098523878,0.432086725,ENSG00000153130,SCOC,short coiled-coil protein,None,other,4q31.1
150.2153164,0.237524113,0.14471597,1.641312379,0.100732588,0.437315566,ENSG00000125703,ATG4C,autophagy related 4C cysteine peptidase,Autophagy related,peptidase,1p31.3
133.2916515,-0.329436651,0.201835187,-1.632206238,0.102636047,0.440479358,ENSG00000117984,CTSD,cathepsin D,Cathepsins|Peptidase family A1,peptidase,11p15.5
79.72370472,-0.34834803,0.214249827,-1.625896431,0.10397169,0.444550633,ENSG00000171552,BCL2L1,BCL2 like 1,Protein phosphatase 1 regulatory subunits|BCL2 family,other,20q11.21
51.76454441,-0.379029724,0.234965224,-1.613131157,0.106716016,0.451195845,ENSG00000156171,DRAM2,DNA damage regulated autophagy modulator 2,None,other,1p13.3
65.66758465,-0.387411328,0.242316481,-1.59878241,0.109868959,0.456744304,ENSG00000055483,USP36,ubiquitin specific peptidase 36,Ubiquitin specific peptidases,None,17q25.3
709.6552001,-0.283360409,0.179612341,-1.577622156,0.114652439,0.468402006,ENSG00000130726,TRIM28,tripartite motif containing 28,Ring finger proteins|PHD finger proteins|Protein phosphatase 1 regulatory subunits|MicroRNA protein coding host genes|Bromodomain containing|Tripartite motif family,None,19q13.43
103.8374694,0.304158885,0.19339769,1.572712089,0.115785499,0.469794929,ENSG00000108691,CCL2,C-C motif chemokine ligand 2,Chemokine ligands,cytokine,17q12
165.1145409,-0.288250362,0.18500127,-1.558099369,0.119209694,0.477118448,ENSG00000080815,PSEN1,presenilin 1,Peptidase family A22,peptidase,14q24.2
25.16773902,-0.465373653,0.299193976,-1.555424541,0.119844993,0.477979096,ENSG00000167965,MLST8,"MTOR associated protein, LST8 homolog",WD repeat domain containing|MTOR complex 1|MTOR complex 2,other,16p13.3
5.635613271,-1.05496497,0.68076496,-1.549675779,0.121219354,0.481428553,ENSG00000171791,BCL2,BCL2 apoptosis regulator,Protein phosphatase 1 regulatory subunits|BCL2 family,transporter,18q21.33
62.46750359,-0.331392385,0.21402699,-1.548367263,0.121533898,0.48217768,ENSG00000142082,SIRT3,sirtuin 3,Sirtuins,None,11p15.5
282.4225035,0.164148657,0.106371588,1.54316261,0.122791327,0.48351565,ENSG00000057663,ATG5,autophagy related 5,Autophagy related,other,6q21
87.27563544,-0.26073913,0.169340777,-1.53973033,0.1236261,0.485120477,ENSG00000100030,MAPK1,mitogen-activated protein kinase 1,Mitogen-activated protein kinases,kinase,22q11.22
13.2275893,-0.628827496,0.414541187,-1.516924047,0.129285861,0.492286015,ENSG00000152223,EPG5,ectopic P-granules 5 autophagy tethering factor,None,other,18q12.3-q21.1
13.18622396,-0.628993658,0.416261945,-1.511052512,0.130775072,0.494405102,ENSG00000100568,VTI1B,vesicle transport through interaction with t-SNAREs 1B,SNAREs,transporter,14q24.1
34.53383705,-0.428160466,0.285890661,-1.497637118,0.134227558,0.499232342,ENSG00000103197,TSC2,TSC complex subunit 2,TSC complex|Armadillo like helical domain containing|Protein phosphatase 1 regulatory subunits,other,16p13.3
104.806856,-0.282208916,0.190219339,-1.483597393,0.137915761,0.503820747,ENSG00000094631,HDAC6,histone deacetylase 6,"Histone deacetylases, class IIB|Protein phosphatase 1 regulatory subunits",transcription regulator,Xp11.23
75.80111313,-0.318778364,0.215367581,-1.480159465,0.138830695,0.504865795,ENSG00000157954,WIPI2,"WD repeat domain, phosphoinositide interacting 2",WIPI family|Autophagy related|WD repeat domain containing,other,7p22.1
40.19796735,-0.323928725,0.219058708,-1.478730192,0.13921244,0.505259115,ENSG00000162909,CAPN2,calpain 2,EF-hand domain containing|Calpains,peptidase,1q41
420.1697025,0.234901046,0.159344974,1.474166646,0.140436728,0.507192501,ENSG00000005893,LAMP2,lysosomal associated membrane protein 2,Lysosome associated membrane proteins|CD molecules,enzyme,Xq24
43.42134793,0.370138476,0.254798259,1.452672706,0.146314649,0.515755983,ENSG00000023287,RB1CC1,RB1 inducible coiled-coil 1,Autophagy related|Protein phosphatase 1 regulatory subunits,other,8q11.23
71.8129035,0.30449079,0.210885762,1.44386604,0.148776661,0.519566687,ENSG00000118960,HS1BP3,HCLS1 binding protein 3,None,None,2p24.1
93.94972438,0.225042817,0.158195833,1.422558441,0.154864199,0.529986606,ENSG00000152208,GRID2,glutamate ionotropic receptor delta type subunit 2,Glutamate ionotropic receptor delta type subunits,ion channel,4q22.1-q22.2
346.7015348,0.17443034,0.122889606,1.41940678,0.155780457,0.531390072,ENSG00000101310,SEC23B,"SEC23 homolog B, COPII coat complex component",COPII coat complex,None,20p11.23
14.11024895,-0.532604531,0.378669643,-1.406514995,0.159571255,0.535436091,ENSG00000126775,ATG14,autophagy related 14,Autophagy related|PIK3C3 complex subunits,other,14q22.3
