"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050801","monoatomic ion homeostasis",497,0.266938035061634,1.29311402039094,0.00909272923625572,0.0798434545344206,0.0669850848384324,3790,"tags=25%, list=19%, signal=21%","4495/4496/55630/4494/797/857/4493/6507/23682/4499/664/1906/4502/6505/858/55647/10345/51076/57402/760/80763/2034/64116/4879/552900/30968/3932/8992/4489/2512/581/1910/57158/8614/58515/90639/114/26059/288/1657/794/205251/79901/567/9472/10539/6337/958/348/392862/9104/4842/9633/468/3062/796/9446/64699/126306/5538/8804/169200/26234/785/9474/51027/801/495/5332/51463/6557/6916/51382/25932/2235/887/220002/10467/286097/642489/6647/489/3077/5777/9550/5333/55283/55151/3778/56704/252839/89885/5336/54757/9481/526/169026/133308/51606/6262/480/80024/5579/7223/55177/221154/7009/79041/3710/10134/57181/84286/148738/7421/1139/4891/475/483/5144/7224/90550/50617/2247"
"GO:0010460","positive regulation of heart rate",20,0.582476970072785,1.63912651327552,0.00912402554629378,0.0800014776398792,0.0671176591513463,266,"tags=20%, list=1%, signal=20%","7168/1906/6505/133"
"GO:0048871","multicellular organismal-level homeostasis",693,-0.240836761020167,-1.24634277198479,0.00914085337023103,0.0800323624773503,0.0671435701476864,4874,"tags=32%, list=25%, signal=25%","5467/10400/115209/55198/5290/124590/338773/26027/10162/5608/55113/51705/9289/10673/1365/286204/9069/9696/677/24/10083/56172/7399/3845/51599/28512/8915/10018/59341/6839/28996/376497/55027/3784/31/54903/83690/84433/3480/583/5925/55619/55765/3303/4352/4117/6654/100/9770/55366/1831/7846/2074/6772/84662/192111/9469/26058/157680/63978/25937/51087/1200/3908/6714/4851/3910/9518/11215/7067/2629/292/948/284/57817/7030/2068/7049/3662/2651/6319/79602/8842/93/261734/27102/3091/112/25/64170/21/407975/1621/4585/5745/57333/6510/9991/7442/3658/3707/51738/23186/4054/57561/6513/8473/5532/4522/2146/6662/9573/6774/368/56834/8692/9733/114781/9898/5518/6778/25987/355/3635/22954/92211/7428/2887/10019/23373/5515/114789/139818/596/5578/25861/5880/128338/6558/642658/9807/324/6670/51341/6722/2821/5175/9076/284207/58488/6498/10370/2131/51548/1778/1666/4669/9842/5591/6522/4237/10365/5564/4297/331/6777/51327/27031/1003/10413/4858/84879/613/55904/133522/60682/482/4692/558/6608/1981/103/2303/3315/23028/8861/79718/37/23774/79068/6597/9839/4857/22985/340719/171023/4302/6886/10320/4923/51621/8864/4756/3566/10518/1499/1021/9658/9079/1445/23154/9935/7425/9462/28982/23090/5566/9927/3791/1000/3988"
"GO:0033280","response to vitamin D",31,-0.506085847569197,-1.67911588836624,0.00924213557705628,0.0806842460028934,0.0676904712495727,3679,"tags=45%, list=19%, signal=37%","6256/25959/7706/6257/22938/655/7299/1032/4330/6591/8805/3371/2242/6422"
"GO:0043502","regulation of muscle adaptation",66,-0.398126034781512,-1.52255149749527,0.00924213557705628,0.0806842460028934,0.0676904712495727,3725,"tags=50%, list=19%, signal=41%","2539/5756/6093/7138/6331/1605/7133/221476/4089/493/136319/9150/4851/817/9569/57190/407975/3720/5578/6198/818/5152/9759/3572/9475/488/7528/142/6548/4088/5530/3488/7132"
"GO:0007097","nuclear migration",25,-0.540832584559051,-1.66755064114248,0.00926210040065712,0.0807413534926849,0.0677383818775747,1923,"tags=44%, list=10%, signal=40%","79789/153241/6585/23291/1778/84823/5108/199953/9368/4001/1639"
"GO:1902548","negative regulation of cellular response to vascular endothelial growth factor stimulus",11,-0.702211793726717,-1.72903893242432,0.00932558601116063,0.0811771343807977,0.0681039825386611,1814,"tags=45%, list=9%, signal=41%","25960/11117/199731/10253/153090"
"GO:0021988","olfactory lobe development",31,-0.505057777402796,-1.67570490787933,0.009408656077597,0.0817818877265115,0.0686113435290539,3597,"tags=42%, list=18%, signal=34%","9928/8482/6092/477/23287/55636/6497/6722/2131/7474/22809/9353/6299"
"GO:0034248","regulation of amide metabolic process",448,-0.251548886846201,-1.26316967311587,0.00948707844376234,0.0823445553235649,0.0690833964599327,3730,"tags=26%, list=19%, signal=22%","64410/8518/333/136319/6134/26058/55337/2043/115024/54464/51087/127933/283/9444/132864/8877/8440/23318/84962/9337/55571/25929/27102/149986/7248/1982/64215/27161/2872/6667/255967/83759/4686/1611/3658/56623/23185/5610/9148/8473/22916/7072/4076/5315/253943/54956/6197/5611/56848/1660/115572/1975/1984/23410/56478/64223/406919/81554/11044/6059/11236/8872/9728/811/6198/28960/8570/129563/10658/5591/5970/57690/26995/10600/23321/1153/3184/3192/9475/63935/3609/23367/8507/26523/5935/1981/8662/3315/8672/23654/113251/79068/1454/5187/9698/6311/4440/4343/1654/54915/340719/4904/23016/124540/9939/7157/208/25946/10642/10985/8864/1994/57472/9513/3488/7431/274"
"GO:0045023","G0 to G1 transition",35,-0.502364441497032,-1.70221085406903,0.00951508883865579,0.0824002862363571,0.069130152201443,3341,"tags=43%, list=17%, signal=36%","8193/9275/6599/196528/6240/6604/29117/8289/605/55193/6597/6602/57492/6605/153090"
